order_id,order_date,customer_id,product_id,quantity,price,revenue
1,13-11-2023,17,11,1.00,805.00,805
2,05-03-2023,34,9,2.00,1527.00,3054
3,29-08-2023,12,11,5.00,503.00,2515
4,02-11-2023,26,10,4.00,225.00,900
5,05-05-2023,39,4,3.00,1227.00,3681
6,11-01-2023,31,19,4.00,1639.00,6556
7,23-07-2023,49,8,1.00,1267.00,1267
8,18-11-2023,24,1,2.00,762.00,1524
9,10-02-2023,14,5,1.00,225.00,225
10,27-04-2023,12,16,1.00,855.00,855
11,17-09-2023,31,10,1.00,128.00,128
12,25-07-2023,41,6,5.00,1692.00,8460
13,02-06-2023,21,4,3.00,988.00,2964
14,26-07-2023,2,4,5.00,1094.00,5470
15,02-05-2023,24,19,1.00,685.00,685
16,13-07-2023,2,5,5.00,1445.00,7225
17,28-09-2023,45,13,3.00,1838.00,5514
18,14-04-2023,31,19,2.00,608.00,1216
19,10-04-2023,19,13,4.00,1708.00,6832
20,21-08-2023,49,19,5.00,1858.00,9290
21,14-09-2023,44,11,1.00,780.00,780
22,15-10-2023,44,4,1.00,1177.00,1177
23,08-12-2023,28,1,3.00,726.00,2178
24,23-06-2023,31,9,1.00,953.00,953
25,24-08-2023,36,8,1.00,1652.00,1652
26,16-11-2023,22,20,5.00,1606.00,8030
27,22-02-2023,2,14,3.00,1411.00,4233
28,02-03-2023,35,2,1.00,1193.00,1193
29,06-08-2023,19,4,3.00,613.00,1839
30,18-11-2023,7,18,3.00,1029.00,3087
31,13-11-2023,35,13,1.00,1095.00,1095
32,18-09-2023,50,17,3.00,1459.00,4377
33,05-06-2023,9,17,2.00,337.00,674
34,08-08-2023,10,15,2.00,1067.00,2134
35,08-04-2023,30,7,3.00,552.00,1656
36,16-05-2023,24,18,5.00,1078.00,5390
37,05-01-2023,36,10,1.00,1577.00,1577
38,13-06-2023,13,4,5.00,615.00,3075
39,18-06-2023,12,9,4.00,645.00,2580
40,29-12-2023,28,11,2.00,624.00,1248
41,24-11-2023,19,9,5.00,120.00,600
42,28-06-2023,31,9,5.00,1667.00,8335
43,13-07-2023,8,11,4.00,648.00,2592
44,19-06-2023,17,3,1.00,1612.00,1612
45,18-05-2023,19,17,3.00,1838.00,5514
46,21-02-2023,36,16,2.00,820.00,1640
47,15-12-2023,22,14,4.00,825.00,3300
48,09-08-2023,28,8,3.00,687.00,2061
49,08-03-2023,46,10,4.00,1096.00,4384
50,21-04-2023,10,5,2.00,1960.00,3920
51,13-12-2023,26,8,2.00,148.00,296
